id,category,category_JP,category_EN,category_ZH,category_KR,JP,EN,ZH,KR
41,existence,存在,Existence,存在,존재,あなたの心は本当の望みに何を求めていますか,What is your heart asking of your true desire?,你的心向你真正的愿望在寻求什么？,당신의 마음은 당신의 진정한 바람에 무엇을 바라고 있나요?
42,fear,恐れ,Fear,恐惧,두려움,今のあなたは人の期待にどんな名前をつけますか,What name would you give to other people's expectations right now?,此刻，你会给他人的期待取什么名字？,지금의 당신은 타인의 기대에 어떤 이름을 붙이고 싶나요?
43,release,手放す,Release,放下,놓아줌,あなたは後悔を誰の視線で見ていますか,Through whose eyes are you seeing regret?,你正透过谁的目光看着后悔？,당신은 후회을(를) 누구의 시선으로 보고 있나요?
44,hope,希望,Hope,希望,희망,もし静かに座るならやり直す力は何を語りそうですか,"If you sat quietly, what might the strength to begin again say?",如果你安静坐下，重新开始的力量似乎会说些什么？,"조용히 앉아 있다면, 다시 시작할 힘은(는) 무엇을 말할 것 같나요?"
45,relationship,関係,Relationship,关系,관계,あなたの中に残っている距離を置くべき関係の灯は何ですか,What small lamp of a relationship that needs distance still remains within you?,在你心里，仍然留着怎样一盏关于需要保持距离的关系的灯？,당신 안에는 아직도 거리를 두어야 할 관계에 관한 어떤 작은 등불이 남아 있나요?
46,gratitude,感謝,Gratitude,感恩,감사,今あなたにとって小さな幸せとは何ですか,What is a small happiness to you right now?,此刻，对你来说，微小的幸福是什么？,지금 당신에게 작은 행복은(는) 무엇인가요?
47,reflection,内省,Reflection,反思,성찰,今日のあなたは疲れにどう向き合いますか,How are you facing your fatigue today?,今天，你要如何面对你的疲惫？,오늘 당신은 피로에 어떻게 마주하나요?
48,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは失った人から何を学んでいますか,What is the person you lost teaching you?,你失去的人正在教会你什么？,잃은 사람은(는) 당신에게 무엇을 가르치고 있나요?
49,silence,沈黙,Silence,沉默,침묵,今のあなたに必要な一歩手前の答えは何ですか,What kind of the answer just before words do you need right now?,此刻，你需要怎样的话语之前的答案？,지금의 당신에게 필요한 말이 되기 직전의 답은(는) 무엇인가요?
50,identity,自己,Identity,自我,자기,あなたの中で静かに浮かぶ変わりたい部分は何ですか,What quietly rises within you when you think of the part of you that wants to change?,想到你想改变的那一部分时，在你心里静静浮现的是什么？,"변하고 싶은 부분을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
51,existence,存在,Existence,存在,존재,もし少し立ち止まるなら心の静けさをどう見ますか,"If you paused for a moment, how would you look at the quietness of your heart?",如果你稍微停下来，会如何看待你内心的宁静？,"잠시 멈춘다면, 마음의 고요을(를) 어떻게 바라보게 될까요?"
52,fear,恐れ,Fear,恐惧,두려움,あなたは失敗を事実として見ていますか それとも解釈として見ていますか,"Are you seeing failure as fact, or as interpretation?",你看到的失败，是事实，还是一种解释？,"당신은 실패을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
53,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる怒りは何ですか,What does anger honestly feel like to you right now?,此刻，你诚实地感受到的愤怒是什么？,지금의 당신이 솔직하게 느끼는 분노은(는) 무엇인가요?
54,hope,希望,Hope,希望,희망,あなたは救いを抱えていますか それとも迎え入れ始めていますか,"Are you carrying relief, or beginning to welcome it?",你是在背负着救赎，还是开始迎接它？,"당신은 구원을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
55,relationship,関係,Relationship,关系,관계,今日のあなたにとって言えなかった言葉はどんな存在ですか,What kind of presence is the words you could not say to you today?,今天，对你来说，你没能说出口的话是怎样的存在？,오늘 당신에게 말하지 못한 말은(는) 어떤 존재인가요?
56,gratitude,感謝,Gratitude,感恩,감사,あなたの心は支えに何を求めていますか,What is your heart asking of the support that holds you up?,你的心向支撑你的力量在寻求什么？,당신의 마음은 당신을 지탱하는 것에 무엇을 바라고 있나요?
57,reflection,内省,Reflection,反思,성찰,今のあなたは本音にどんな名前をつけますか,What name would you give to your true feelings right now?,此刻，你会给你真实的心声取什么名字？,지금의 당신은 본심에 어떤 이름을 붙이고 싶나요?
58,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは言えなかった感謝を誰の視線で見ていますか,Through whose eyes are you seeing the gratitude you could not say?,你正透过谁的目光看着没能说出口的感谢？,당신은 말하지 못한 감사을(를) 누구의 시선으로 보고 있나요?
59,silence,沈黙,Silence,沉默,침묵,もし静かに座るなら語らないことは何を語りそうですか,"If you sat quietly, what might what remains unsaid say?",如果你安静坐下，没有说出口的东西似乎会说些什么？,"조용히 앉아 있다면, 말하지 않는 것은(는) 무엇을 말할 것 같나요?"
60,identity,自己,Identity,自我,자기,あなたの中に残っている守ってきた価値観の灯は何ですか,What small lamp of the values you have protected still remains within you?,在你心里，仍然留着怎样一盏关于你一直守护的价值观的灯？,당신 안에는 아직도 지켜 온 가치관에 관한 어떤 작은 등불이 남아 있나요?
61,existence,存在,Existence,存在,존재,今あなたにとって進む方向とは何ですか,What is the direction you are heading to you right now?,此刻，对你来说，你前行的方向是什么？,지금 당신에게 나아갈 방향은(는) 무엇인가요?
62,fear,恐れ,Fear,恐惧,두려움,今日のあなたは孤独にどう向き合いますか,How are you facing loneliness today?,今天，你要如何面对孤独？,오늘 당신은 외로움에 어떻게 마주하나요?
63,release,手放す,Release,放下,놓아줌,あなたは言い訳から何を学んでいますか,What is an excuse teaching you?,借口正在教会你什么？,변명은(는) 당신에게 무엇을 가르치고 있나요?
64,hope,希望,Hope,希望,희망,今のあなたに必要な明日は何ですか,What kind of tomorrow do you need right now?,此刻，你需要怎样的明天？,지금의 당신에게 필요한 내일은(는) 무엇인가요?
65,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ受け取った優しさは何ですか,What quietly comes to mind when you think of the kindness you received?,想到你收到的温柔时，在你心里静静浮现的是什么？,"받았던 다정함을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
66,gratitude,感謝,Gratitude,感恩,감사,もし少し立ち止まるなら平凡な奇跡をどう見ますか,"If you paused for a moment, how would you look at an ordinary miracle?",如果你稍微停下来，会如何看待平凡的奇迹？,"잠시 멈춘다면, 평범한 기적을(를) 어떻게 바라보게 될까요?"
67,reflection,内省,Reflection,反思,성찰,あなたは選択を事実として見ていますか それとも解釈として見ていますか,"Are you seeing a choice as fact, or as interpretation?",你看到的选择，是事实，还是一种解释？,"당신은 선택을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
68,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,今のあなたが正直に感じる限りある時間は何ですか,What does limited time honestly feel like to you right now?,此刻，你诚实地感受到的有限的时间是什么？,지금의 당신이 솔직하게 느끼는 유한한 시간은(는) 무엇인가요?
69,silence,沈黙,Silence,沉默,침묵,あなたは待つことを感じていますか それとも見過ごしていますか,"Are you sensing waiting, or passing it by?",你是在感受等待，还是正在把它忽略过去？,"당신은 기다림을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
70,identity,自己,Identity,自我,자기,今日のあなたにとって譲れないものはどんな存在ですか,What kind of presence is what you cannot compromise on to you today?,今天，对你来说，你无法让步的东西是怎样的存在？,오늘 당신에게 양보할 수 없는 것은(는) 어떤 존재인가요?
71,existence,存在,Existence,存在,존재,あなたの心は今日という時間に何を求めていますか,What is your heart asking of this day?,你的心向今天这段时间在寻求什么？,당신의 마음은 오늘이라는 시간에 무엇을 바라고 있나요?
72,fear,恐れ,Fear,恐惧,두려움,今のあなたは変化にどんな名前をつけますか,What name would you give to change right now?,此刻，你会给变化取什么名字？,지금의 당신은 변화에 어떤 이름을 붙이고 싶나요?
73,release,手放す,Release,放下,놓아줌,あなたは終わらせるべきことを誰の視線で見ていますか,Through whose eyes are you seeing what needs to come to an end?,你正透过谁的目光看着应该结束的事？,당신은 끝내야 할 것을(를) 누구의 시선으로 보고 있나요?
74,hope,希望,Hope,希望,희망,もし静かに座るなら続ける理由は何を語りそうですか,"If you sat quietly, what might your reason to continue say?",如果你安静坐下，继续下去的理由似乎会说些什么？,"조용히 앉아 있다면, 계속할 이유은(는) 무엇을 말할 것 같나요?"
75,relationship,関係,Relationship,关系,관계,あなたの中に残っている残っているつながりの灯は何ですか,What small lamp of the connection that still remains still remains within you?,在你心里，仍然留着怎样一盏关于仍然留下的连结的灯？,당신 안에는 아직도 아직 남아 있는 연결에 관한 어떤 작은 등불이 남아 있나요?
76,gratitude,感謝,Gratitude,感恩,감사,今あなたにとって今あるものとは何ですか,What is what is already here to you right now?,此刻，对你来说，此刻已经拥有的东西是什么？,지금 당신에게 지금 이미 있는 것은(는) 무엇인가요?
77,reflection,内省,Reflection,反思,성찰,今日のあなたは気づいていない思いにどう向き合いますか,How are you facing a feeling you have not yet noticed today?,今天，你要如何面对你尚未察觉的心意？,오늘 당신은 아직 알아차리지 못한 마음에 어떻게 마주하나요?
78,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたはいのちから何を学んでいますか,What is life itself teaching you?,生命正在教会你什么？,생명은(는) 당신에게 무엇을 가르치고 있나요?
79,silence,沈黙,Silence,沉默,침묵,今のあなたに必要な見ることは何ですか,What kind of simply seeing do you need right now?,此刻，你需要怎样的只是看见？,지금의 당신에게 필요한 그저 보는 것은(는) 무엇인가요?
80,identity,自己,Identity,自我,자기,あなたの中で静かに浮かぶ人生の軸は何ですか,What quietly rises within you when you think of the axis of your life?,想到你人生的轴心时，在你心里静静浮现的是什么？,"삶의 축을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
81,existence,存在,Existence,存在,존재,もし少し立ち止まるなら本当に大切なものをどう見ますか,"If you paused for a moment, how would you look at what truly matters?",如果你稍微停下来，会如何看待真正重要的东西？,"잠시 멈춘다면, 진정으로 중요한 것을(를) 어떻게 바라보게 될까요?"
82,fear,恐れ,Fear,恐惧,두려움,あなたは恐れを事実として見ていますか それとも解釈として見ていますか,"Are you seeing fear as fact, or as interpretation?",你看到的恐惧，是事实，还是一种解释？,"당신은 두려움을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
83,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる手放せないものは何ですか,What does what you cannot let go of honestly feel like to you right now?,此刻，你诚实地感受到的你放不下的东西是什么？,지금의 당신이 솔직하게 느끼는 놓지 못하는 것은(는) 무엇인가요?
84,hope,希望,Hope,希望,희망,あなたは希望を抱えていますか それとも迎え入れ始めていますか,"Are you carrying hope, or beginning to welcome it?",你是在背负着希望，还是开始迎接它？,"당신은 희망을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
85,relationship,関係,Relationship,关系,관계,今日のあなたにとって思い出す人はどんな存在ですか,What kind of presence is the person who comes to mind to you today?,今天，对你来说，你想起的那个人是怎样的存在？,오늘 당신에게 문득 떠오르는 사람은(는) 어떤 존재인가요?
86,gratitude,感謝,Gratitude,感恩,감사,あなたの心は感謝できることに何を求めていますか,What is your heart asking of what you can be grateful for?,你的心向你可以感恩的事在寻求什么？,당신의 마음은 감사할 수 있는 것에 무엇을 바라고 있나요?
87,reflection,内省,Reflection,反思,성찰,今のあなたは今の感情にどんな名前をつけますか,What name would you give to your feelings right now right now?,此刻，你会给你此刻的感受取什么名字？,지금의 당신은 지금의 감정에 어떤 이름을 붙이고 싶나요?
88,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは死を誰の視線で見ていますか,Through whose eyes are you seeing death?,你正透过谁的目光看着死亡？,당신은 죽음을(를) 누구의 시선으로 보고 있나요?
89,silence,沈黙,Silence,沉默,침묵,もし静かに座るなら呼吸は何を語りそうですか,"If you sat quietly, what might your breath say?",如果你安静坐下，呼吸似乎会说些什么？,"조용히 앉아 있다면, 호흡은(는) 무엇을 말할 것 같나요?"
90,identity,自己,Identity,自我,자기,あなたの中に残っているなりつつある自分の灯は何ですか,What small lamp of the person you are becoming still remains within you?,在你心里，仍然留着怎样一盏关于你正在成为的自己的灯？,당신 안에는 아직도 되어 가는 나에 관한 어떤 작은 등불이 남아 있나요?
91,existence,存在,Existence,存在,존재,今あなたにとって自分の人生とは何ですか,What is your own life to you right now?,此刻，对你来说，你自己的人生是什么？,지금 당신에게 자기 자신의 삶은(는) 무엇인가요?
92,fear,恐れ,Fear,恐惧,두려움,今日のあなたは不安にどう向き合いますか,How are you facing anxiety today?,今天，你要如何面对不安？,오늘 당신은 불안에 어떻게 마주하나요?
93,release,手放す,Release,放下,놓아줌,あなたは執着から何を学んでいますか,What is attachment teaching you?,执着正在教会你什么？,집착은(는) 당신에게 무엇을 가르치고 있나요?
94,hope,希望,Hope,希望,희망,今のあなたに必要な小さな光は何ですか,What kind of a small light do you need right now?,此刻，你需要怎样的微小的光？,지금의 당신에게 필요한 작은 빛은(는) 무엇인가요?
95,relationship,関係,Relationship,关系,관계,あなたの中で静かに浮かぶ感謝したい人は誰ですか,Who quietly comes to mind when you think of the person you want to thank?,当你想到你想感谢的人时，在你心里静静浮现的是谁？,"감사하고 싶은 사람을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 이는 누구인가요?"
96,gratitude,感謝,Gratitude,感恩,감사,もし少し立ち止まるなら今日の恵みをどう見ますか,"If you paused for a moment, how would you look at today's blessing?",如果你稍微停下来，会如何看待今天的恩惠？,"잠시 멈춘다면, 오늘의 은혜을(를) 어떻게 바라보게 될까요?"
97,reflection,内省,Reflection,反思,성찰,あなたは沈黙を事実として見ていますか それとも解釈として見ていますか,"Are you seeing silence as fact, or as interpretation?",你看到的沉默，是事实，还是一种解释？,"당신은 침묵을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
98,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,今のあなたが正直に感じる最後の日は何ですか,What does your last day honestly feel like to you right now?,此刻，你诚实地感受到的最后一天是什么？,지금의 당신이 솔직하게 느끼는 마지막 날은(는) 무엇인가요?
99,silence,沈黙,Silence,沉默,침묵,あなたは静けさを感じていますか それとも見過ごしていますか,"Are you sensing stillness, or passing it by?",你是在感受宁静，还是正在把它忽略过去？,"당신은 고요을(를) 느끼고 있나요, 아니면 스쳐 지나가고 있나요?"
100,identity,自己,Identity,自我,자기,今日のあなたにとって本当の自分はどんな存在ですか,What kind of presence is your true self to you today?,今天，对你来说，真正的自己是怎样的存在？,오늘 당신에게 진짜 나은(는) 어떤 존재인가요?
101,existence,存在,Existence,存在,존재,あなたの心は生きる理由に何を求めていますか,What is your heart asking of your reason for living?,你的心向你活着的理由在寻求什么？,당신의 마음은 살아가는 이유에 무엇을 바라고 있나요?
102,fear,恐れ,Fear,恐惧,두려움,今のあなたは避けていることにどんな名前をつけますか,What name would you give to what you are avoiding right now?,此刻，你会给你正在回避的事取什么名字？,지금의 당신은 당신이 피하고 있는 것에 어떤 이름을 붙이고 싶나요?
103,release,手放す,Release,放下,놓아줌,あなたは古い役割を誰の視線で見ていますか,Through whose eyes are you seeing an old role?,你正透过谁的目光看着旧有的角色？,당신은 오래된 역할을(를) 누구의 시선으로 보고 있나요?
104,hope,希望,Hope,希望,희망,もし静かに座るなら次の一歩は何を語りそうですか,"If you sat quietly, what might the next step say?",如果你安静坐下，下一步似乎会说些什么？,"조용히 앉아 있다면, 다음 한 걸음은(는) 무엇을 말할 것 같나요?"
105,relationship,関係,Relationship,关系,관계,あなたの中に残っている許したい人の灯は何ですか,What small lamp of the person you want to forgive still remains within you?,在你心里，仍然留着怎样一盏关于你想原谅的人的灯？,당신 안에는 아직도 용서하고 싶은 사람에 관한 어떤 작은 등불이 남아 있나요?
106,gratitude,感謝,Gratitude,感恩,감사,今あなたにとって受け取った助けとは何ですか,What is the help you received to you right now?,此刻，对你来说，你得到的帮助是什么？,지금 당신에게 받은 도움은(는) 무엇인가요?
107,reflection,内省,Reflection,反思,성찰,今日のあなたは心の声にどう向き合いますか,How are you facing the voice of your heart today?,今天，你要如何面对你内心的声音？,오늘 당신은 마음의 소리에 어떻게 마주하나요?
108,death,死と別れ,Death & Loss,死亡与离别,죽음과 이별,あなたは残したいものから何を学んでいますか,What is what you want to leave behind teaching you?,你想留下的东西正在教会你什么？,남기고 싶은 것은(는) 당신에게 무엇을 가르치고 있나요?
109,silence,沈黙,Silence,沉默,침묵,今のあなたに必要な今ここは何ですか,What kind of the here and now do you need right now?,此刻，你需要怎样的此时此地？,지금의 당신에게 필요한 지금 여기은(는) 무엇인가요?
110,identity,自己,Identity,自我,자기,あなたの中で静かに浮かぶ信じているものは何ですか,What quietly rises within you when you think of what you believe in?,想到你所相信的东西时，在你心里静静浮现的是什么？,"당신이 믿는 것을(를) 떠올릴 때, 당신 안에 조용히 떠오르는 것은 무엇인가요?"
111,existence,存在,Existence,存在,존재,もし少し立ち止まるなら今いる場所をどう見ますか,"If you paused for a moment, how would you look at where you stand now?",如果你稍微停下来，会如何看待你此刻所站的位置？,"잠시 멈춘다면, 지금 당신이 서 있는 자리을(를) 어떻게 바라보게 될까요?"
112,fear,恐れ,Fear,恐惧,두려움,あなたは失うことを事実として見ていますか それとも解釈として見ていますか,"Are you seeing the possibility of loss as fact, or as interpretation?",你看到的失去这件事，是事实，还是一种解释？,"당신은 잃는 것을(를) 사실로 보고 있나요, 아니면 해석으로 보고 있나요?"
113,release,手放す,Release,放下,놓아줌,今のあなたが正直に感じる重荷は何ですか,What does a burden honestly feel like to you right now?,此刻，你诚实地感受到的负担是什么？,지금의 당신이 솔직하게 느끼는 짐은(는) 무엇인가요?
114,hope,希望,Hope,希望,희망,あなたは信じたい未来を抱えていますか それとも迎え入れ始めていますか,"Are you carrying the future you want to believe in, or beginning to welcome it?",你是在背负着你想相信的未来，还是开始迎接它？,"당신은 믿고 싶은 미래을(를) 짊어지고 있나요, 아니면 받아들이기 시작하고 있나요?"
115,relationship,関係,Relationship,关系,관계,今日のあなたにとって守りたい人はどんな存在ですか,What kind of presence is the person you want to protect to you today?,今天，对你来说，你想守护的人是怎样的存在？,오늘 당신에게 지키고 싶은 사람은(는) 어떤 존재인가요?
