id,jp,en,category,zh,kr
46,失った人に今伝えたいことは何ですか,What would you say now to the one you lost?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
47,その別れは何を変えましたか,What did that farewell change?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
48,今もあなたと歩いている記憶は何ですか,What memory still walks with you?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
49,愛は失われたあと何に変わりますか,What does love become after loss?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
50,今もその人から何を受け取っていますか,What are you still receiving from that person?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
51,あなたはどんな遺産を残したいですか,What legacy do you want to leave behind?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
52,死を思うとき何がはっきりしますか,What becomes clear when you think of death?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
53,今日が最後でも後悔しない選択は何ですか,What choice would you not regret if today were the last day?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
54,あなたの時間は誰のために使われていますか,For whom is your time being spent?,reflection,这个问题对你意味着什么？,이 질문은 당신에게 무엇을 의미합니까?
55,あなたが先延ばしにしている大切なことは何ですか,What important thing are you postponing?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
56,あなたは何を受け入れられていませんか,What have you not yet accepted?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
57,今のあなたに必要な優しさは何ですか,What kind of kindness do you need right now?,self_awareness,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
58,あなたが他人に見せていない顔は何ですか,What face of yours do others not see?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
59,あなたは何を赦せずにいますか,What have you not forgiven?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
60,あなたの孤独は何を求めていますか,What is your loneliness asking for?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
61,今あなたを急がせているものは何ですか,What is rushing you right now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
62,いま手を止めたら何が見えますか,What do you see when you stop your hands?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
63,あなたが本当に休まる場所はどこですか,Where do you truly find rest?,reflection,那个地方对你意味着什么？,그곳은 당신에게 어떤 의미입니까?
64,あなたの人生の軸は何ですか,What is the axis of your life?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
65,あなたの心を重くしている一言は何ですか,What one thought is weighing on your heart?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
66,いま抱えている荷物のうち本当に必要なものは何ですか,"Of what you carry now, what is truly necessary?",self_awareness,这个问题对你意味着什么？,이 질문은 당신에게 무엇을 의미합니까?
67,あなたは自分にどんな嘘をついていますか,What lie are you telling yourself?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
68,あなたは何をまだ言葉にしていませんか,What have you not yet put into words?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
69,今あなたは何を待っていますか,What are you waiting for right now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
70,あなたが最も恐れる沈黙はどんな沈黙ですか,What silence do you fear the most?,fear,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
71,今あなたを生かしているものは何ですか,What is keeping you alive right now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
72,あなたはどこで自分を見失いますか,Where do you lose yourself?,reflection,那个地方对你意味着什么？,그곳은 당신에게 어떤 의미입니까?
73,あなたはどこで自分を取り戻しますか,Where do you recover yourself?,reflection,那个地方对你意味着什么？,그곳은 당신에게 어떤 의미입니까?
74,今あなたに必要な別れは何ですか,What farewell do you need now?,self_awareness,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
75,あなたは何を始める準備ができていますか,What are you ready to begin?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
76,あなたは何を終える勇気が必要ですか,What do you need courage to end?,self_awareness,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
77,あなたの内側で静かに壊れているものは何ですか,What is quietly breaking inside you?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
78,あなたの内側で静かに育っているものは何ですか,What is quietly growing inside you?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
79,今あなたが一番聞きたい言葉は何ですか,What words do you most need to hear right now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
80,あなたは自分に何を約束したいですか,What do you want to promise yourself?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
81,今あなたの胸に残っている痛みは何ですか,What pain still remains in your chest?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
82,その痛みは何を大切にしていた証ですか,What does that pain prove you cared about?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
83,あなたは何を悼んでいますか,What are you grieving?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
84,その悲しみの中にどんな愛がありますか,What love is hidden in that grief?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
85,今あなたが選ぶべき静けさは何ですか,What quiet do you need to choose now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
86,あなたはどこで呼吸を忘れていますか,Where are you forgetting to breathe?,reflection,那个地方对你意味着什么？,그곳은 당신에게 어떤 의미입니까?
87,あなたの身体は何と言っていますか,What is your body saying?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
88,あなたは誰と和解したいですか,With whom do you want to reconcile?,reflection,这个问题对你意味着什么？,이 질문은 당신에게 무엇을 의미합니까?
89,あなたは何をまだ信じていたいですか,What do you still want to believe in?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
90,あなたは何を学び終えていませんか,What have you not finished learning?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
91,あなたは何に守られてきましたか,What has protected you so far?,values,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
92,あなたは何を壊す必要がありますか,What do you need to break?,self_awareness,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
93,あなたは何を育てる必要がありますか,What do you need to nurture?,self_awareness,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
94,今あなたにとって十分とは何ですか,What is enough for you right now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
95,あなたは何を抱いたまま眠っていますか,What do you go to sleep still holding?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
96,あなたは何を抱いたまま目覚めますか,What do you wake up still holding?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
97,あなたの今日の灯は何を照らしますか,What will your lamp illuminate today?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
98,あなたはこの問いの中で何に気づきましたか,What did you notice inside this question?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
99,この問いはあなたをどこへ連れていきますか,Where is this question taking you?,reflection,那个地方对你意味着什么？,그곳은 당신에게 어떤 의미입니까?
100,あなたは今、何を静かに受け入れますか,What will you quietly accept now?,reflection,你现在在思考什么？,지금 당신은 무엇을 생각하고 있습니까?
